SECTOR_ID,NCELL_ID,RATIO_ALL,RANK,COSITE
253914-2,253917-2,0,10,0
253914-2,253913-0,0,11,0
253914-2,253907-1,0,12,0
253914-2,253899-1,0,13,0
253914-2,15114-129,0,14,0
253914-2,124683-1,0,15,0
253914-2,259761-1,0,16,0
253914-2,259761-2,0,17,0
253914-2,15290-128,0,18,0
253914-2,253936-1,0,19,0
253916-1,253941-1,12.58041458,1,0
253916-1,253895-1,9.012389802,2,0
253916-1,253913-0,6.596974029,3,0
253916-1,253917-2,6.057898499,4,0
253916-1,253928-0,5.584345961,5,0
253916-1,253921-1,3.148081963,6,0
253916-1,253916-2,2.58517989,0,1
253916-1,253933-1,1.763164165,7,0
253916-1,253895-2,1.00964975,8,0
253916-1,259772-2,0.634381701,9,0
253916-1,253916-0,0.425899452,0,1
253916-1,15113-130,0.062544675,10,0
253916-1,253927-1,0.04169645,11,0
253916-1,253920-2,0.011913271,12,0
253916-1,253907-2,0.008934954,13,0
253916-1,15513-129,0.002978318,14,0
253916-1,253906-1,0.002978318,15,0
253916-1,253922-1,0,16,0
253916-1,253936-0,0,17,0
253916-1,15113-129,0,18,0
253916-1,253890-1,0,19,0
253916-1,15311-130,0,20,0
253916-2,253941-1,80.90364453,1,0
253916-2,253939-0,11.30803794,2,0
253916-2,253894-2,6.140788817,3,0
253916-2,253916-1,2.046929606,0,1
253916-2,253895-2,1.522715926,4,0
253916-2,15113-130,0.374438342,5,0
253916-2,253939-2,0.299550674,6,0
253916-2,253893-1,0.299550674,7,0
253916-2,253939-1,0.274588118,8,0
253916-2,253905-1,0.074887668,9,0
253916-2,253906-1,0.074887668,10,0
253916-2,253893-0,0.049925112,11,0
253916-2,253903-1,0,12,0
253916-2,5641-129,0,13,0
253916-2,253916-0,0,0,1
253917-0,253907-1,55.94594595,1,0
253917-0,253926-1,45.94594595,2,0
253917-0,253913-1,35.40540541,3,0
253917-0,253926-2,20.27027027,4,0
253917-0,259772-1,16.21621622,5,0
253917-0,253929-1,15.67567568,6,0
253917-0,253917-2,12.7027027,0,1
253917-0,253923-2,9.189189189,7,0
253917-0,253926-0,1.621621622,8,0
253917-0,253916-2,0,9,0
253917-2,253916-1,26.69735328,1,0
253917-2,253926-2,20.05178366,2,0
253917-2,253913-1,17.80782509,3,0
253917-2,253917-0,16.2543153,0,1
253917-2,253941-1,15.56386651,4,0
253917-2,253933-1,14.95972382,5,0
253917-2,253913-0,7.50863061,6,0
253917-2,259772-2,5.753739931,7,0
253917-2,253907-1,4.861910242,8,0
253917-2,253895-1,3.912543153,9,0
253917-2,253907-2,2.387802071,10,0
253917-2,253895-2,0.373993096,11,0
253917-2,253928-0,0.258918297,12,0
253921-0,253940-2,19.42610063,1,0
253921-0,253921-1,15.4245283,0,1
253921-0,253927-1,6.100628931,2,0
253921-0,253921-2,3.639937107,0,1
253921-0,253936-2,0.597484277,3,0
253921-0,15113-130,0.589622642,4,0
253921-0,253906-0,0.251572327,5,0
253921-0,253912-2,0.031446541,6,0
253921-0,253904-1,0.023584906,7,0
253921-1,253921-0,11.20787312,0,1
253921-1,253940-1,10.33701501,1,0
253921-1,253895-0,9.331634098,2,0
253921-1,253895-1,2.293967715,3,0
253921-1,253916-1,1.692155197,4,0
253921-1,253940-2,0.934579439,5,0
253921-1,253906-0,0.700934579,6,0
253921-1,253928-0,0.523930898,7,0
253921-1,253917-2,0.354007363,8,0
253921-1,253921-2,0.354007363,0,1
253921-1,253927-1,0.162843387,9,0
253921-1,253892-1,0.092041914,10,0
253921-1,253912-2,0.049561031,11,0
253921-1,253892-2,0.042480884,12,0
253921-1,15113-130,0.035400736,13,0
253921-1,253936-2,0,14,0
253921-1,253940-0,0,15,0
253921-1,253913-0,0,16,0
253921-1,253904-1,0,17,0
253921-1,124812-2,0,18,0
253921-2,259772-2,12.00083368,1,0
