CITY,SCELL,NCELL,HOATT,HOSUCC,HOSUCCRATE
sanxia,15117-130,253917-0,4627,4618,0.9981
sanxia,15117-130,253929-1,4588,4577,0.9976
sanxia,15117-130,259779-2,2596,2586,0.9961
sanxia,15117-130,253929-0,1773,1766,0.9961
sanxia,15117-130,253926-1,1705,1705,1
sanxia,15117-130,253907-1,1275,1269,0.9953
sanxia,15117-130,253922-0,1228,1221,0.9943
sanxia,15117-130,15117-128,1216,1207,0.9926
sanxia,15117-130,253900-2,1164,1160,0.9966
sanxia,15117-130,124924-0,994,992,0.998
sanxia,15117-130,253900-1,853,848,0.9941
sanxia,15117-130,253917-2,842,838,0.9952
sanxia,15117-130,124924-2,813,813,1
sanxia,15117-130,15114-129,517,517,1
sanxia,15117-130,7299-144,481,447,0.9293
sanxia,15117-130,253920-2,349,346,0.9914
sanxia,15117-130,15116-130,134,134,1
sanxia,15117-130,253917-1,132,132,1
sanxia,15117-130,253913-1,121,121,1
sanxia,15117-130,124924-1,105,105,1
sanxia,15117-130,253928-1,102,100,0.9804
sanxia,15117-130,259779-1,99,98,0.9899
sanxia,15117-130,253924-2,69,69,1
sanxia,15117-130,253926-2,40,40,1
sanxia,15117-130,15117-129,36,36,1
sanxia,15117-130,253919-0,32,32,1
