S_SECTOR_ID,N_SECTOR_ID,S_EARFCN,N_EARFCN
124691-2,259627-0,38400,38400
124691-2,273937-129,38400,38400
124691-2,5882-144,38400,38950
124694-0,5662-128,38400,38400
124694-0,5662-129,38400,38400
124694-0,5662-130,38400,38400
124694-0,7202-130,38400,38400
124694-0,7203-128,38400,38400
124694-0,7203-129,38400,38400
124694-0,7203-130,38400,38400
124694-0,15472-128,38400,38400
124694-0,15472-129,38400,38400
124694-0,15472-130,38400,38400
124694-0,15474-128,38400,38400
124694-0,15474-129,38400,38400
124694-0,15474-130,38400,38400
124694-0,15583-128,38400,38400
124694-0,15583-129,38400,38400
124694-0,47444-0,38400,38400
124694-0,47444-2,38400,38400
124694-0,124694-1,38400,38400
124694-0,124694-2,38400,38400
124694-0,124812-0,38400,38400
124694-0,124812-1,38400,38400
124694-0,124812-2,38400,38400
124694-0,124813-0,38400,38400
124694-0,124813-1,38400,38400
124694-0,124912-0,38400,38400
124694-0,238379-0,38400,38400
124694-0,253785-0,38400,38400
124694-0,253786-0,38400,38400
124694-0,253792-0,38400,38400
124694-0,253804-0,38400,38400
124694-0,253804-2,38400,38400
124694-0,253818-0,38400,38400
124694-0,253820-0,38400,38400
124694-0,253820-1,38400,38400
124694-0,259654-0,38400,38400
124694-0,259654-1,38400,38400
124694-0,259654-2,38400,38400
124694-0,47586-16,38400,38950
124694-0,238457-16,38400,38950
124694-0,259771-16,38400,38950
124694-1,5662-128,38400,38400
124694-1,5662-129,38400,38400
124694-1,5662-130,38400,38400
124694-1,7202-130,38400,38400
124694-1,7203-128,38400,38400
124694-1,7203-129,38400,38400
124694-1,15121-128,38400,38400
124694-1,15474-128,38400,38400
124694-1,15474-129,38400,38400
124694-1,15583-128,38400,38400
124694-1,15583-129,38400,38400
124694-1,47444-1,38400,38400
124694-1,47444-2,38400,38400
124694-1,124694-0,38400,38400
124694-1,124694-2,38400,38400
124694-1,124812-0,38400,38400
124694-1,124812-1,38400,38400
124694-1,124812-2,38400,38400
124694-1,124813-1,38400,38400
124694-1,124813-2,38400,38400
124694-1,124911-0,38400,38400
124694-1,124912-0,38400,38400
124694-1,124912-1,38400,38400
124694-1,124912-2,38400,38400
124694-1,238379-0,38400,38400
124694-1,238379-1,38400,38400
124694-1,253772-1,38400,38400
124694-1,253786-0,38400,38400
