S_SECTOR_ID,N_SECTOR_ID
124689-0,47470-0
124689-0,47467-0
124689-0,259627-3
124689-0,15486-130
124689-0,47468-1
124689-0,124697-1
124689-0,259627-0
124689-0,124893-2
124689-0,124689-1
124689-0,253950-0
124689-0,124893-0
124689-0,124691-1
124689-0,15514-128
124689-0,47469-1
124689-0,15516-130
124689-0,253949-2
124689-0,259682-0
124689-0,259627-4
124689-0,124678-0
124689-0,15516-129
124689-0,259761-4
124689-0,273929-130
124689-0,124689-2
124689-0,15487-128
124689-0,259584-3
124689-0,47467-1
124689-0,253949-1
124689-0,124713-1
124689-0,273929-129
124689-0,259584-1
124689-0,124691-0
124689-0,47468-2
124689-0,15516-128
124689-0,15592-129
124689-0,15329-130
124689-0,15514-130
124689-0,259781-1
124689-0,124691-2
124689-0,15427-129
124689-0,124713-0
124689-0,253950-1
124689-0,15486-129
124689-0,47470-1
124689-0,15487-130
124689-0,259627-1
124689-0,47468-0
124689-0,124893-1
124689-0,47467-2
124689-0,253949-0
124689-0,259682-1
124689-0,273937-129
124689-0,259584-2
124689-0,15329-128
124689-0,259721-0
124689-0,259627-5
124689-0,259761-0
124689-0,259627-2
124689-0,47469-0
124689-0,259761-1
124689-0,124689-3
124689-0,273937-128
124689-0,7198-128
124689-1,259584-0
124689-1,15486-130
124689-1,15514-129
124689-1,15329-130
124689-1,273937-129
124689-1,47470-1
124689-1,259721-1
124689-1,15329-128
124689-1,124691-0
124689-1,124689-0
124689-1,273929-130
124689-1,15427-128
124689-1,124893-1
124689-1,259627-0
124689-1,259761-4
124689-1,15487-128
124689-1,47467-1
124689-1,124678-0
124689-1,15514-128
124689-1,15487-130
124689-1,124697-2
124689-1,15516-128
124689-1,253949-0
124689-1,47467-2
124689-1,47470-0
124689-1,259584-2
124689-1,259627-5
124689-1,47469-2
124689-1,15514-130
124689-1,274143-144
124689-1,124689-2
124689-1,259584-3
124689-1,15486-129
124689-1,124713-1
124689-1,253950-1
124689-1,124893-2
124689-1,124678-1
124689-1,47468-0
124689-1,273929-128
124689-1,259721-0
124689-1,253950-0
124689-1,259627-3
124689-1,124697-0
124689-1,47469-0
124689-1,124691-1
124689-1,259627-1
124689-1,273937-128
124689-1,259761-1
124689-1,253949-1
124689-1,15487-129
124689-1,15486-128
124689-1,47470-2
124689-1,259627-4
124689-1,47467-0
124689-1,15427-129
124689-1,259627-2
124689-1,47468-1
124689-1,124689-3
124689-1,15592-128
124689-1,124697-1
124689-1,15516-129
124689-1,124893-0
124689-1,259584-1
124689-1,273929-129
124689-1,47469-1
124689-1,15592-129
124689-1,124691-2
124689-2,47469-1
124689-2,124689-0
124689-2,15486-129
124689-2,273929-128
124689-2,253950-0
124689-2,259627-3
124689-2,124893-0
124689-2,15486-130
124689-2,47469-0
124689-2,259584-2
124689-2,259627-1
124689-2,47468-0
124689-2,47467-2
124689-2,15486-128
124689-2,259627-5
124689-2,259721-0
124689-2,253950-2
124689-2,259627-2
124689-2,15427-128
124689-2,259761-1
124689-2,259761-0
124689-2,253949-1
124689-2,47467-0
124689-2,15487-129
124689-2,259781-1
124689-2,15427-129
124689-2,15514-129
124689-2,259761-3
124689-2,124678-1
124689-2,124697-1
124689-2,124689-3
124689-2,15592-128
124689-2,47470-2
124689-2,47468-1
124689-2,124689-1
124689-2,47470-1
124689-2,259584-1
124689-2,15329-130
124689-2,124691-1
124689-2,15514-128
124689-2,259761-4
124689-2,259627-0
124689-2,124893-1
124689-2,259627-4
124689-2,15516-130
124689-2,124678-0
124689-2,15516-129
124689-2,15487-128
124689-2,253949-0
124689-2,273937-129
124689-2,15329-128
124689-2,124691-0
124689-2,124697-2
124689-2,47469-2
124689-2,273929-130
124689-2,259781-0
124689-2,47467-1
124689-2,273937-128
124689-2,15487-130
124689-2,259682-1
124689-2,124697-0
124689-2,273929-129
124689-2,124678-2
124689-2,259584-3
124689-2,15307-129
124689-2,274143-144
124689-2,15516-128
124689-2,15592-129
124689-2,47470-0
124689-2,124691-2
124689-2,124713-2
124689-2,253950-1
124689-2,124713-1
124689-2,15514-130
124689-2,15329-129
124689-2,259584-0
124689-2,253949-2
124689-2,15307-128
124689-2,124893-2
124689-3,15486-129
124689-3,124893-0
124689-3,273937-129
124689-3,124689-0
124689-3,47469-1
124689-3,15516-129
124689-3,15487-128
124689-3,253949-0
124689-3,47467-1
124689-3,124893-1
124689-3,259721-1
124689-3,15514-128
124689-3,124689-1
124689-3,273929-130
124689-3,124678-0
124689-3,259627-0
124689-3,273937-128
124689-3,259627-5
124689-3,124697-0
124689-3,259682-1
124689-3,15487-130
124689-3,259584-2
124689-3,124691-0
124689-3,124697-2
124689-3,47469-2
124689-3,15592-129
124689-3,124691-2
124689-3,124689-2
124689-3,253950-1
124689-3,274143-144
124689-3,259584-3
124689-3,47470-0
124689-3,273929-128
124689-3,259627-3
124689-3,15486-130
124689-3,253950-0
124689-3,124893-2
124689-3,259584-0
124689-3,47467-2
124689-3,15486-128
124689-3,47469-0
124689-3,259627-1
124689-3,253949-1
124689-3,47470-2
124689-3,15487-129
124689-3,15427-128
124689-3,259627-4
124689-3,15592-128
124689-3,259627-2
124689-3,124697-1
124689-3,47470-1
124689-3,15329-128
124689-3,124691-1
124689-3,47468-1
124689-3,259584-1
124691-0,124678-0
124691-0,259627-1
124691-0,124689-2
124691-0,124893-1
124691-0,15592-128
124691-0,124691-2
124691-0,124689-3
124691-0,273937-129
124691-0,47469-0
124691-0,124893-0
124691-0,15487-129
124691-0,259627-2
124691-0,124689-1
124691-0,15487-128
124691-0,259627-0
124691-0,15329-128
124691-0,47469-1
124691-0,15592-129
124691-0,259584-3
124691-0,124691-1
124691-0,273937-128
124691-0,124689-0
124691-0,15427-128
124691-0,15487-130
124691-1,15592-129
124691-1,124689-3
124691-1,15592-128
124691-1,124893-0
124691-1,273937-128
124691-1,259627-2
124691-1,15487-129
124691-1,124678-0
124691-1,124689-1
124691-1,47469-1
124691-1,259627-0
124691-1,124691-2
124691-1,259584-3
124691-1,124689-2
124691-1,124689-0
124691-1,15487-128
124691-1,15487-130
124691-1,15427-128
124691-1,124691-0
124691-1,259627-1
124691-1,124893-1
124691-1,273937-129
124691-1,15329-128
124691-1,47469-0
124691-2,124893-0
124691-2,15329-128
124691-2,124689-0
124691-2,124678-0
124691-2,124689-1
124691-2,15427-128
124691-2,124893-1
124691-2,15592-129
124691-2,124691-1
124691-2,47469-1
124691-2,15487-130
124691-2,15487-128
124691-2,259584-3
124691-2,124689-2
124691-2,273937-129
124691-2,259627-1
124691-2,47469-0
124691-2,15487-129
124691-2,273937-128
124691-2,259627-2
124691-2,124689-3
124691-2,15592-128
124691-2,124691-0
124691-2,259627-0
124697-0,259682-1
124697-0,47467-1
124697-0,259627-5
124697-0,124689-1
124697-0,259761-1
124697-0,259682-0
124697-0,259761-0
124697-0,259627-4
124697-0,259627-0
124697-0,7198-128
124697-0,124689-3
124697-0,47469-0
124697-0,253949-2
124697-0,253950-0
124697-0,47468-0
124697-0,273929-128
124697-0,259627-3
124697-0,15496-128
124697-0,15486-130
124697-0,15486-128
124697-0,47468-1
124697-0,124713-0
124697-0,124697-2
124697-0,259761-3
124697-0,259781-0
124697-0,259627-2
124697-0,124923-0
124697-0,274143-144
124697-0,47469-2
124697-0,47470-0
124697-0,259584-1
124697-0,124689-0
124697-0,253950-1
124697-0,259627-1
124697-0,47467-2
124697-0,259584-3
124697-0,124684-0
124697-0,47470-1
124697-0,259761-4
124697-0,15486-129
124697-0,253949-0
124697-0,7199-128
124697-0,124689-2
124697-0,124684-2
124697-0,15592-129
124697-0,15496-129
124697-0,259584-2
124697-0,47468-2
124697-0,124713-1
124697-0,124713-2
124697-0,253949-1
124697-0,259781-1
124697-0,47467-0
124697-0,124697-1
124697-0,259584-0
124697-0,47470-2
124697-1,253949-0
124697-1,124689-2
124697-1,124689-1
124697-1,124697-2
124697-1,124713-1
124697-1,124697-0
124697-1,15592-129
124697-1,274143-144
124697-1,47470-0
124697-1,259584-1
124697-1,124689-0
124697-1,253950-1
124697-1,259627-4
124697-1,259627-0
124697-1,47467-1
124697-1,259584-3
124697-1,47470-1
124697-1,259761-4
124697-1,15486-130
124697-1,273929-128
124697-1,15486-129
124697-1,259627-3
124697-1,259627-2
124697-1,253949-1
124697-1,259682-1
124697-1,47467-0
124697-1,259584-0
124697-1,47470-2
124697-1,259627-5
124697-1,259761-1
124697-1,47469-2
124697-1,47468-0
124697-1,253950-0
124697-1,124689-3
124697-1,47467-2
124697-1,47469-0
124697-1,259627-1
